XTEkYdlM,_1tSRIohB 2,_2EO0yd2j,
sa***sb,"on Dec 2, 2024","Super well made, I had never seen a flashlight rechargeable by cable, great never out of battery! Not too big fits well in the hand, and 3 light selections well found! Well done!",
ni***37,"on Nov 28, 2024","Wow . Didn’t think it was going to be as bright as stated , but it surely is . Perfect for the dog walkers , night runners ect . Absolute bargain .",
Artist plastic,"on Nov 27, 2024",,
Peter Paul Truijen,"on Nov 11, 2024",First impression is good. Powerful beam that is adjustable. I'm charging them now and I'm curious how long that takes (and how long the lamp lasts on 1 charge).,
er***in,"on Nov 9, 2024","Nice little practical lamp to leave in your vehicle or carry in a bag. It also recharges on electricity with its USB cord either at home or in your vehicle. No more need to constantly buy replacement batteries, so it's a saving for everyone.",
70***34,"on Nov 8, 2024","I received the flashlight on time. It gets dark early now, and I walk home from work in the dark. I don't see very well in the dark. Now the flashlight saves me from stepping into a puddle or dirt. Thank you very much!",
i*,"on Nov 7, 2024","It is excellent to carry around because it is very easy to handle and above all it illuminates a lot and up to a long range.
It also has flashing light as a function ... I recommend",
Ahmed Mohamed Ibrahim,"on Oct 27, 2024",,
do***58,"on Oct 24, 2024","Just received my torch Y/day, being a taxi driver I start work about 4am/5am, found it a great device this morning when looking for a house Noʻ in an area I'm not familiar with. would defo recommend it especially in situations like this👏👏👏",
Balazs Varhelyi,"on Oct 18, 2024",All superb except one thing: it's micro usb for charging so I have to have another usb lead or converter with me. It's a must have for every glovebox in any car.,
at***04,"on Oct 18, 2024","Truly an exceptional product with a price, as always, very small. The first one I received I think had a defect because being charged it turned on perfectly but then disconnected the current .. it no longer lit up. I simply indicated the problem in the chat available and immediately they sent me another one. A great absolute seriousness and attention to the ""customer"" person. The latest arrival is very good and although I have already used it several times and also lent it to those who needed it and appreciated it very much, it was not once again put on charge because it is always very bright.",
Robby Veekmans,"on Oct 17, 2024","This flashlight shines harder than I have now, so I'm happy with it and doesn't weigh much and different functions. very good item. Thank you Temu and Post NL for the fast delivery.",
pi***rt,"on Oct 14, 2024",,
Юрий Маринеску,"on Oct 12, 2024","The flashlight shines, be healthy.MicroUSB charging is so-so, the last century, but for the flashlight it will do.Clear charge indicator.I recommend the seller, the delivery is excellent.",
va***35,"on Sep 29, 2024","Very well done its job and the fact that you can recharge it is very good and ecological, no batteries. Top illumination with the possibility of adjustment. I recommend.",
Coşkun Demir,"on Sep 20, 2024","It is light and useful, it illuminates quite well. I just got my hands on it. I have no idea how much the charge is going. But it charges very quickly",
me***li,"on Sep 13, 2024",,
Lydia Benegesserit,"on Aug 28, 2024",Extraordinary! Interesting light beam power. Excellent in the car just in case... Charging is done using the USB cord and it's perfect. I'm going to buy some again for the house and give them as gifts.,
Ryu Hayabusa,"on Jul 28, 2024","It is quite powerful and illuminates an entire building of 7 avocados (in my case) and adjusts to give only in one area or all around, the truth is quite good 👍",
Susan Coombe,"on Feb 22, 2025","Excellent, amazing beam lights up entire room easy to charge, , awesome little light, very pleased with it, quick delivery",
78***27,"on May 25, 2025","very bright and easy to use, would be great if there was a blackout.",
gi***06,"on Nov 12, 2024",very good works well,
Maksim Safonau,"on Apr 21, 2025",🖐️🔦👍🙏,
ENES BATUR FAN,"on Nov 17, 2024",Very nice and useful for fine work,
Sam Payea,"on Jan 27, 2025","excellent thanks, value for money, quick delivery, awesome little light, very pleased with it",
Dave Bennett,"on Jan 21, 2025","excellent thanks Looks amazing and for such a great price!
Fast delivery too! ;-) thanks",
53***99,"on Jan 31, 2025","I've charged the flashlight, but haven't had a chance to use it yet.
I'll test its illumination performance later.
It looks like it has a metal casing in the photos, but it's actually made of plastic.
It's a lightweight product.",
63***84,"on May 9, 2025",It has three positions and quite a bit of lighting. One of the positions has a flashing effect. It's medium-sized but looks quite impressive.,
co***c7,"on Nov 13, 2024",Absolutely brilliant. Nice shine wide and deep. Go.t some other modes which are quite good. Plus I can just plug it in to my existing cable to charge,
Виолетта Гейжане,"on Jul 2, 2025",,
Ethan Cox,"on Jan 29, 2025","The range is brilliant, maybe if there was an extra switch to toggle other lighting modes such as strobe effect to change to and from the modes would be brilliant since you press it once to turn on then again, for the next and so on until you get the strobe. And you have to go through the whole light cycle, to turn it off. It's made of plastic on the outside instead of metal, but does feel pretty sturdy and good to hold so no problems there really. Other than that though, I'm really pleased with it since it competes with some of my military torches that have excellent range. So I would recommend it for a decent lighting device.",
ir***ac,"on Mar 2, 2025","The flashlight is excellent, with a rechargeable battery and a durable plastic casing. The brightness is more than satisfactory. I highly recommend it!!!",
Lone Wolf,"on Feb 25, 2025","It's a great product, and the battery-powered lamp is quite powerful for its size, getting the job done for everyday tasks where it's needed. I'm honestly satisfied.",
jp***er,"on Dec 10, 2024","After some issues with the delivery, my package finally arrived, I am satisfied with my purchases², thank you Tému for the return of the package.",
51***60,"on Nov 29, 2024",The flashlight is great. It takes up little space in the bag. It's compact and lightweight. It fulfills its role completely. It illuminates very well and I highly recommend it.,
63***34,"on Oct 29, 2024","Very practical flashlight with great light vision capacity, illuminates a lot and with a large vision radius, small to be able to carry it in a bag",
je***96,"on Sep 26, 2024","Very good article, with the rotation of the front cover, which allows you to widen or concentrate the light beam. A +: it is rechargeable on USB.",
pa***lg,"on Feb 19, 2025","excellent product, arrived quickly and in very good packaging. thank you",
Br***er,"on Jan 27, 2025","brilliant little torch, very bright and will come in handy for all sorts. Especially when walking home in the dark while on holiday",
do***42,"on Oct 7, 2024","It arrived safely, packed in a box with a charging cable.",
Ramunė Račiūnaitė,"on Sep 25, 2024",,
Hannie De Bruin-van Meijeren,"on Nov 21, 2024",Delivered super fast. Works great too. Reaches far in the dark.,
catriona warren,"on Nov 20, 2024","awesome little light, very pleased with it, exactly as described, excellent thanks, great product for my husband's work",
ro***ry,"on Mar 1, 2025","I received my order, I am very satisfied with the product. Thank you to the seller.",
jo***an,"on Feb 1, 2025",fantastic small torch with a very useful adjustable beam and easy rechargeable power unit. Handy little household tool.,
tr***01,"on Sep 19, 2024",For how small it is it's amazing,
Pa***53,"on Nov 2, 2024","This is brilliant and is really bright . I am very pleased with it , also be good for a present",
bo***72,"on May 20, 2025","How lovely! I absolutely love it, it's super adorable. It really touched my heart. I want to see more things this beautiful. It's absolutely gorgeous!",
fa***42,"on May 10, 2025","It's a very nice and wonderful product. The delivery is a bit late, but that's not a big deal. It arrives in good condition, in its special packaging. I've ordered it a second time. I highly recommend it.",
69***91,"on Jan 24, 2025","Works well, lighting is good for its size
All plastic, so it's lightweight
Practical for the car, can be recharged via the car stereo",
es***sa,"on Nov 26, 2024","I needed a flashlight for the car and this is because of the size and the light it gives very good.
The price is very economical and gives a lot of light. That's great",
Elena Latici,"on Feb 10, 2025","Perfect. Just small enough to fit in my pocket. Bright, strong light in two sizes. There's also a blinking light.",
Anthony Hudson,"on Oct 15, 2024","A very good tool Bright Light, flasher and dim and useful Zoom in and out.
Easy to recharge small and handy",
Mobareka Salajee,"on Nov 8, 2024","good product .
a strap facility would have been better
value for money.
a strap facility would have been helpful",
ju***02,"on Jun 7, 2025","Brilliant torch lost my last one but this is even better, lightweight & really bright, perfect for late night walks with dogs",
ma***li,"on Nov 11, 2024","awesome little light, very pleased with it, good quality, value for money",
Alexis Molina,"on Nov 9, 2024","awesome little light, very pleased with it, great product, value for money",
Computer repairs Southampton,"on Mar 25, 2025","awesome little light, very pleased with it, exactly as described, quick delivery, perfect 👌",
29***34,"on Nov 19, 2024","everything worked, looks good.",
fi***as,"on Feb 7, 2025","Nice, bright light. Easy to use and charge",
Каныш Кайралапов,"on Apr 28, 2025","The flashlight is excellent, compact, and shines well. The only drawback is that there is neither a lanyard to hang it on the hand nor a loop for a lanyard.",
Mayzan mckie,"on May 6, 2025","works well , very pleased with it, exactly as described, excellent product, value for money",
Christine Gates,"on Nov 19, 2024","very pleased with it, exactly as described, handy pointer, ideal, value for money, good quality",
mu***ak,"on Jul 8, 2025","The product is a value-for-money item with 3 different modes, and the clarity and intensity can be adjusted by moving it back and forth. I got it for free, so I'm quite happy with it.",
